NUM,EXPECTED,model_epoch_01_gs_6146_beam_width_1,# characters,edit distance
69,原因不明の神経変性疾患,現因不明の新計編成施勝,11,7
70,じゃあ結局今日の池内との,アアアケックク強の上けちとの,12,11
71,どうしようかと思ってさ,同しようかと思ってさ,11,2
72,せっかくの誕生日の日に,セッククの単情機の日に,11,7
73,さっき病院に電話きてた,サッキ製院に電話的て,11,6
74,メスは餌を探しに出るんだけど,メスは世を探しにでるんだけど,14,2
75,その間どんなに腹減っても,その関どんなにはら変っても,12,4
76,ずっと卵守って待ってんだよ,ずっとママジマもってまってんだそよ,13,7
77,本当は先輩は来ないかもって思ってた,本当は先配はこないかもって思ってった,17,3
78,何言ってるか分かんなくなっちゃうんだって,なにいってるかわかんなくなったんんだってった,20,9
79,最後には寝たきりになって,最後にはネタキリになって,12,4
80,その人物は派手なパンクファッションに,その人部ははでなパンンフォUションに,18,6
81,身を包んでいたそうですが,見をつつんでいたそうですが,12,3
82,まさにあんな感じでした,まさに何間感でした,11,4
83,記憶には自信があるんです,ききくには自信があるんです,12,3
84,先ほどあなたが見たのは,さきほどあなたが見たのは,11,2
85,さっき記憶には自信があると,さっききくくには自信があると,13,3
86,自信がなくなってきました,自身がなくなってきました,12,1
87,でも見てみたかったわね,でも見てみたかったわね,11,0
88,いろいろ教えてくださいね,いろいろお世的ださいねね,12,5
89,事務所の経営に貢献してくださいね,自務所の経営に公権してくださいね,16,3
90,それはいいじゃないですか,それはいいじゃないですか,12,0
91,協力したのは私たちです,強力したのは私たちです,11,1
92,私も協力をお願いされたら,私も強力をお願いされたら,12,1
93,カツラぐらいは被りましたよ,カツラグライはこうスリましたよ,13,7
94,私もちょっとは協力しました,私もちょっとは強力しました,13,1
95,こういう時はじゃんけんでしょ,こういうときは間件件でし,14,8
96,宮田さんじゃんけんに勝てて,見やたさんんん件にかってて,13,9
97,思いっきりのんびりしちゃいましょ,思いっきりの本理したいましょ,16,5
98,とりあえずお風呂入りましょうね,とりあえオオフロは入りましょう,15,6
99,恐ろしい殺人事件が起きる事など,おそろしいつ次人件が行きることなど,15,8
100,のんびりしようって言いましたよね,のビビリ使いていいましたよねね,16,9
101,プロデューサーの仕事でしょ,プロデュUサUの仕事とでしょ,13,3
102,撮り方の工夫で何とかするから,とりかたのククウでなんとかるからら,14,10
103,あさすが大女優って感じ,やさすが大女数って感じ,11,2
104,高校の時の友人なんです,公行の当機能人なんです,11,5
105,私たちここに泊まってるの,私たちここにとまってるの,12,1
106,まだ駆け出しみたいですけど,まだかけだしみたいですけど,13,2
107,お肌ツルツルになるんですって,いは出くるルになるんですって,14,5
108,いろいろと苦労したんだね,いいいろとくろうしたんだね,12,4
109,私は今回だけなんだけどね,私は今回だけなんだけどねね,12,1
110,真理江さんは体調が悪いみたいで,あっりややは体長があるいみたいで,15,8
111,何かちょっと怖そうな人ね,何かちちとこわわうな人ねね,12,6
112,ホントはいい人なんだよ,本とはいい人となんだよ,11,4
113,朝から監督の姿が見当たらなくて,さかから簡督のすがが見みたらくてて,15,8
114,スケジュールも狂っちゃって,スケジュUルもクルチャッテ,13,7
115,私そんなメール出してません,私そんなメUルだしてません,13,2
116,送信記録が残ってますよ,総新広画がこってますよ,11,5
117,温泉で殺人事件と遭遇したの,音線で初人時件とようがしたの,13,7
118,写真だけでわかるわけないだろ,写真だけでわるわけけないだろ,14,2
119,山岡監督と田代睦美の間には,やまおかかんとくとたらコムミのの話は,13,15
120,という憶測が飛び交っている,という奥作がと引きっている,13,5
121,マスコミで話題になっている事件だけに,ますも名値だいになっている時件だけに,18,8
122,勝訴すれば事務所の名前が上がりますね,詳そすれば事務所の名前があがりますね,18,3
123,あなたがそこまで言うんだったら,あなたがそこまでいうんだったら,15,1
124,それは私がよく知っています,それは私がよくしています,13,2
125,ホテルの最上階にある展望風呂,ホテルの最上会にある点増フロ,14,5
126,郡山まで行く車の中から,今理やままでいくくるもの中から,11,8
127,先に帰ったお詫びをしておこうと思って,先に家ったおわわびをしておこうと思って,18,3
128,そこで最上階の展望風呂の事を,そこで最上会の展望フロのことを,14,5
129,お肌がツルツルになるから,以はがつるつるになるから,12,6
130,協力するから何でも言ってね,強力するからなにでもいってね,13,4
131,誰かが勝手に自分の携帯を使って,誰かがかってに自分の携帯を使って,15,3
132,真犯人が見つからないまでも,新半人が見つからないまでも,13,2
133,では被告人は席に戻ってください,では年国人は先にもどってください,15,5
134,切迫流産の危険があったそうですが,セッチカブ約前の変けがあったそうですが,16,9
135,数日入院すれば心配ないそうです,数日入院すれば新敗いないそうです,15,3
136,じゃあ裁判はいずれ再開されますね,アアサイ版はいずささい開されますね,16,8
137,それにしても前代未聞ね,それにしても全台見もんね,11,5
138,睦美どうして教えてくれなかったんだろう,ムツイドしておきていけるなかったんだろう,19,9
139,監督が恨まれるなんてないと思う,監督がアラマレルなんてないと思う,15,5
140,厳しいけど思いやりのある人だから,引びしいここもいいやりのある人だから,16,6
141,常連に売ったような気がしますね,上連にいったようなきがしますね,15,3
142,じゃ山岡さんが殺害された時刻に,安山高算が月にやされた時国に,15,9
143,ラウンジであなたと一緒にいたのは,ランジジでなたと一緒にいたのは,16,3
144,ありがとうございました,ありがとうございました,11,0
145,何か睦美ちゃんに不利になる事を,何かむ実長にフリになることを,15,9
146,告げ口するみたいで話しにくくてね,つが受つする見いではなしにくるてね,16,9
147,拘置所に戻されたそうよ,公地初にも今されたそよよ,11,6
148,色々訊いて回ったんですけど,いろいり気手まわわったんですけど,13,9
149,あの日先に東京に帰ってます,あの日期に投供に変えてってます,13,6
150,香山プロデューサーが証言してます,かかまプロデュUサUが勝減してます,16,7
151,インターネットを通じて投稿するんです,インタUネットをついてひと公するんです,18,6
152,この動画が投稿されたのが,この動画が投行されたのが,12,1
153,つまり事件翌日の朝です,つまり時件よう次のやさです,11,6
154,やっぱり撮影されたのは,やっぱり月生されたのは,11,2
155,帽子とマスクの男いたじゃないですか,ボクしとますくの大いいたじゃないですか,17,8
156,あの正体がわかったんです,あの商いがわかったんです,12,2
157,相手役を務める須藤健一さんから,いいて約をつめめる通験一産から,15,11
158,抱負を伺いたいと思います,方府を行かいいたと思います,12,6
159,ファンの人は立ち入り禁止ですよ,ファンの人はたちいり金しですよ,15,4
160,柔軟性があるって事じゃないですか,住んん性があるってことじゃないですか,16,5
161,車まで乗せていただいて,クルママでのセテイタだいて,11,9
162,それはアリバイでも何でもないぞ,それはありアイでもなにでもないぞ,15,5
163,せっかく優しくしてあげたのに,セックカやさしくしてあげたのに,14,6
164,先生この部屋何か暑くないですか,先性このへやなにかくつないですか,15,7
165,リモコンどこいっちゃったんだろう,リモコンド大ったったんだろう,16,5
166,ずっと聞かせてもらったってわけだ,ずっときかせてもらったってわけだ,16,1
167,お手柄と言いたいところだがな,いてがらといいたいところだがな,14,5
168,これが山村ヨウコの細胞,これがやまむらようこの最場,11,9
169,あれならとっくに解析処理を終えた,あれならとックに開成式ををえた,16,7
170,俺のほうでも調べてみたいんだ,おれの方でも知れてみたたんだ,14,7
171,訓練を受けた張本人ですら,クン連を受けた調本人ですら,12,4
172,耐え切れる者はいません,アエキレレルものはいません,11,8
173,一緒にご飯食べるところなの,一緒にごは単セベルところなの,13,5
174,こんな訪ね方しか出来なくて,こんなたずけた私できなくて,13,7
175,あるヤツの名前と住所を,ある新の名前と重勝を,11,4
176,そしたら本当にそいつが死んで,そしたら本当にそいつが新で,14,2
177,やつらにやられっぱなしだ,サックににやれっっぱなしだ,12,6
178,いま少し休ませてるんです,いますこしやすまててるんです,12,5
179,再開されることへの恐怖を抱きます,最回されることへの表府を行いきます,16,6
180,間もなく彼女は落ちます,まもなくかの事は高ます,11,6
181,しっかり覚えてほしんだけど,しっかりおばえてほシンだけど,13,4
182,父親のことをあいつに知らせるな,地地やのことをいいつにしらせるな,15,5
183,全然落ちねーじゃないか,全全同ネUジャないか,11,7
184,予想以上に粘っています,予想以上にねばっています,11,2
185,だったらもっとレベルを上げろ,だったらもっとレベルを上げろ,14,0
186,死んでしまったら二度と手がかり,新でしまったらにどと手がかり,15,4
187,関わらせることは本当に避けたいんだが,かかわらせることは本当にされたインだが,18,6
188,あいつらを捕まえるチャンスなんだろ,いいつらを使ええるチャンスなんだろ,17,3
189,テロリスト確保の際に何かあった時は,テリリリスク国の最にににかったときは,17,11
190,国を守ることが最優先だ,クにをまることが最由選んだ,11,6
191,でもちょっと元気出てきました,でもちょっと現気でてきました,14,2
192,その人に会わせてあげる,その人に合わせていげる,11,2
193,そんなもんさっきの青い車を,そんな問作きのあいくるまを,13,8
194,捕まえてみればわかるんだよ,使ええてみればわわるんだよ,13,3
195,もう少しで大切な証人を,もう少しで対策な商人を,11,3
196,少々強引なところがありまして,詳賞ごいんなところがありまして,14,5
197,何かいじってないと落ち着かなくて,何回時的ないと大っかなくて,16,8
198,自動車販売会社に勤める,自動者販売会社につとめる,11,3
199,現場に争った形跡がなかったことから,現場にあらまった形績がなかったことから,17,4
200,ずいぶん辺鄙なところだな,イイインへペイトなころだな,12,9
201,ウイルスを隠しているんだから,いうるスを確しているんだから,14,4
202,仲間を引き連れて戻ってくるかもよ,中もを引きしれてもっっってくるかもよ,16,6
203,下手な心理戦仕掛けやがって,手たな新理戦しかけやがって,13,5
204,俺たちに何も出来なくさせる,あれたちに何もできなくさせせる,13,5
205,今のところ見当たらない,今のところみたたらない,11,2
206,そんなもんさっきの青い車,そんな問作きのあいくるま,12,8
207,俺も早く気づくべきだった,あれもは約月付けきだった,12,8
208,あんたが犯人だってわかるようになっています,アンタが反人だってわるようになっています,21,5
209,言い訳は本部でゆっくりしろ,いいわけは本部で入くりしろ,13,5
210,あなたは私たちが言うことを,あなたは私たちがいうことを,13,1
211,ヒーローが犯人の背中に,ピUロUが反人のせなかに,11,7
212,これからは嘘だって思いなさい,これからはうそだって思いなさい,14,2
213,それじゃあ最後にもうひとつ頼む,それが回最後にもう人つたの目,15,8
214,上空から現場の画定はできません,上学から現番の各定はできません,15,3
215,その後の状況報告お願いします,その後の状況法告行願いします,14,2
216,お互い頑張って生きていきましょうね,大害がバエッティキ適定ましょうね,17,12
217,報告が送れてすみません,方国が高れてスミマセン,11,8
218,銃を奪われ撃たれました,上を場われるたれました,11,3
219,自分の正体がバレたのか,自分の詳いいがバレタのか,11,4
220,このままの流れで決行だ,このままの中れで結構だ,11,3
221,高木君家にいなかったんだけど,高げグ関にいなかったんだけど,14,3
222,こちらの方とも確認してみます,こちらの方とも確認してみます,14,0
223,遥ちゃん今病院なんですけど,はるかちんコンビビインなんですけど,13,10
224,お兄さんのことすごく心配していて,いにいさんのことスごくシンパイしていて,16,8
225,あちこちに大きいホースが,あちこちにおおききポUスが,12,5
226,今すぐ空調を全部止めて,いますぐくちょごを全部とめて,11,7
227,感染したと決まったわけじゃないだろう,関線したときまったわけじゃじないだろう,18,4
228,対テロを専門としている組織だ,体てをセンメントしているよしきだ,14,11
229,研究室に戻る気はありません,検索質にモルク機はありません,13,7
230,やっぱり食われたのは宝生,やっぱりわわれたのは方調,12,3
231,我々へのウィルステロは失敗だ,われわれへのを分るとはシャッパだ,14,13
232,全員殺すつもりだったの,全員ころスツもりだったの,11,4
233,すぐに出動の要請をする,すぐに出うどのよう成をする,11,5
234,当たれば高圧電流が流れて,たっればおうつつ電売ががかれて,12,9
235,どうしたらこの国を救えるのか,同したらこの原を無くるるのか,14,6
236,俺にはただずっと側にいてほしい,例にはたずずとがわにいてほしい,15,5
237,これを届けにきてくれたの,これをとどけに切てくれたの,12,3
238,あなたに会いたいって言ってるのよ,あなたにアイタイティテテルのよ,16,10
239,でもこれで追跡は不可能よ,でもこれで実切は不加のよよ,12,5
240,相変わらず気持ちいいほど自分本位,いいかわらずきも一いほど時分本員,16,9
241,科学捜査などの専門的捜査で,価格総さなどの選問手決送さで,13,10
242,凶悪犯罪に対応していくチムです,強く中全に対応していくチェムです,15,5
243,あの女と同期だそうです,あのオントと同期だそうです,11,3
244,それに新しい部署の失敗は,それに新しいブシのシッパは,12,5
245,どこの部署からもいらない精鋭たちが,どこのブショカカもいらない世界的が違,17,10
246,容疑者じゃありませんよ,容疑者じありませんよ,11,1
247,暴力事件を起こしてましてね,防力時件を行こしてましてね,13,3
248,どうぞよろしくお願いします,同様ロシクオネウアにします,13,10
249,こんな部署やることないでしょ,こんなブショアルことないでしょ,14,5
250,身元不明の焼死体が発見された,みもと不明の詳したいが発戦された,14,8
251,上半身が丸焦げだったようです,上半新がまるこけがったったようです,14,8
252,あと片腕が折れていたとか,あとかうでがおれていたとか,12,4
253,わたし刑事じゃないですから,私計時間ないですから,13,7
254,警察といえどもね異動はあるの,携末といえどもいいどうはあるの,14,6
255,わたし人間に興味ないんで,私人限に公示ないんで,12,6
256,片桐さんにはお似合いですね,かたぎりさんにはおにいいですね,13,6
257,相当手広くやっていたようで,そうとテテロクキアテテアアようで,13,13
258,炭化した内臓が粉砕してた,端下した内蔵がフンサ最してた,12,7
259,着任早で張り切ってんのは分かるが,チャッニンはやではりキッチンのはわわるが,16,14
260,鉄塔に登らせた可能性が,テット日にボラセタカ可能性が,11,9
261,じゃあこの着信履歴調べれば,アアカコのチャクシリレキシラレベレバ,13,17
262,それからついでに現場で,それからついでに現番で,11,1
263,それにそんな薬品なんて,それにそんや約人なんて,11,3
264,近どこかと合併するとか,金度かかとが月生るとか,11,6
265,業界大手のグロリアス薬品と,業界大手のグロリアアス約人と,13,3
266,またテレビで報道されると思います,またてレビで報動されると思います,16,2
267,焼死ならそうはいかないわ,詳しならそうはいかないわ,12,2
268,わたしがこの目で確認してる,私がこのメで確認してる,13,4
269,指示を受けていたことが分かってる,仕事を受けていたことがわかってる,16,3
270,摩擦で爆発するようになっていた,ままつで約発するようになっていた,15,4
271,つまり一度着たら脱ぐことのできない,つまり一度立たらくがことのできない,17,3
272,一番いやなことさせたわけか,一番いやなことさせたわけかか,13,1
273,あまり評判のよくない銀行です,アマリ表番のよくない人行です,14,6
274,次の犯行もすぐに起こるわ,次の判行もすぐにおころわ,12,3
275,改造したスタンガンが見つかった,回場したスタンガガが実かった,15,5
276,セットされてる可能性が極めて高い,セットされてる可能性が変わめてたかい,16,4
277,そういうことだ遊んでる暇はない,そういうことだそんでる日まはない,15,3
278,やはり爆弾はセットされてるな,やはリククダンはセットされてるなな,14,6
279,時間なんて気にする必要ない,時間なんてきにする必要ない,13,1
280,かなり精密にやらないと,かなり製見ににららないと,11,4
281,ほんのわずか多めにする,本のやくかおメメスす,11,9
282,それも何度かやってみないと分からない,それもなんどかやってみないとわわらない,18,5
283,戸倉さんにお聞きしました,とくらさんにおきききしました,12,5
284,何から何まで教えていただきました,何から何までおきていていただきました,16,4
285,嘘は絶対に言ってはならない,そうは全体にいってはならない,13,5
286,今爆弾処理班が向かっています,コンバッダンシリは現画かっています,14,11
287,もう少し待てばよかったんだよ,もう少してエブよかったんだよ,14,3
288,言わせるために作ったんだって,いわせるためにつくったんだって,14,3
289,それはわたしが優秀だからです,それは私が有集だからです,14,5
290,ここは誰も教えてくれないからな,ここは誰も回えてくれないからな,15,1
291,あののっぽと付き合ってる男,あのの年とつきあってるとここ,13,7
292,現実的にはそうかもしれない,現実的にはそうかもしれない,13,0
293,でも撃てなきゃ刑事じゃない,でもうてな客計時間ない,13,7
294,お前のこと色々噂になってるぞ,大前のおいとおいうわわになってるるぞ,14,9
295,さっき台東区で女子大生が,さったいいとくくで女社大生が,12,7
296,共に地取り鑑取りを行っていますが,ともに一りカントリをこっていますが,16,9
297,問題はこのインターネットの掲示板,問題はこのインタUネットの計時分,16,4
298,また一人処刑してやった,また一人を計してやった,11,2
299,一人目の処刑者よしおかひとみ,一人目の初計者も仕降かとみみ,14,7
300,殺人犯を英雄視してるんだ,月人はを影由ししてるんだ,12,5
301,書き込みの情報によると,かき込みの情報によると,11,1
302,巨大なダガーナイフを持ち,公大なだがUナイフをもち,12,5
303,そのマークを現場にも残す,そのマUクを現場にものこよ,12,4
304,総合するとこんな感じです,総場するとこんな感じです,12,1
305,インターネットのデマじゃない,インタUネットのでままゃない,14,4
306,共に頑張ろうぜおっさん,ともにガンバロウンコサU,11,11
307,ちょっと調べてほしいことがあるんです,ちょっと白べてほしいことがあるんです,18,1
308,大事件に発展するかもしれないんです,大時件にはテンスルかもしれないんです,17,6
309,吉岡さんはお酒を飲んだ,よ仕おかさんは最下をのんだ,11,7
310,ベッドの脇に落ちたことによる,ベッドのわきに言ったことによる,14,4
311,現場にばってんマークとか,現場にバッテンマUクとか,12,5
312,そんなやつおるわけないやろ,そんなやつうわわけないやろ,13,2
313,全てフリースペースに置いてある,すべてフリUスペUスにいいてある,15,5
314,それぞれの所轄に連絡させて,それぞれの初活に連絡させて,13,2
315,同じ人間が書き込みしてるようです,同じ人限がかき込みしてるようです,16,2
316,このインターネットに参加している全員が,このインタUネットに参加している前員が,19,2
317,でも彼女は服の上からだった,でもかの事は不くの上からだった,13,5
318,神なんて祭り上げられて,カミナンテェッツ売えげられて,11,10
319,ぺらぺらしゃべっていたそうだな,ペレンらさせてっていたそうだな,15,6
320,その口の軽さで逮捕できたよ,その口のかるさでい人できたよ,13,4
321,逮捕されたのは都内に住む,体はされたのはとないにすむ,12,6
322,捕まった奴は神なんかじゃない,使ったた作はかみなんかじゃない,14,6
323,親御さんからは頑張れば,おやご参加かはが番レレバ,11,11
324,傷つくこともないんだもんね,位続こともないんだもんね,13,3
325,だから何が言いたいんだって,だから何がいいたインだって,13,3
326,塀の向こうに落ちた神様,平の向うに言ちたかみまま,11,7
327,インターネットは祭りよ,インタUネットはまつ利用,11,5
328,まだ連絡の取れなかった,まだ連絡のとれなかった,11,1
329,気力があればなおさら危険ですね,キキクがあればなおさら変けんですね,15,6
330,インターネットの書き込みの,インタUネットのかき込みの,13,2
331,本当の怪物を生んでしまった,本当の開布をごんでしまった,13,3
332,面白がった誰かが名前を書き込む,もころろがっただれかがなゃゃめをかかけ込む,15,13
333,その期待に応えようとするはず,その近いにお答えうとするはず,14,5
334,一刻も早く逮捕しなければ,一告もは約対初なければ,12,6
335,それぞれ保管室に行って,それぞれほゃんしつにいって,11,6
336,拳銃を携行していくように,検務を経行していくように,12,3
337,もうちょっといい写真使いなさい,もうちちといい社新使いなさい,15,4
338,護衛捜査員はこれから選出する,上映想サインはこれから選出する,14,6
339,一刻も早く発表したいらしいから,一告もは約発表したいらしいから,15,3
340,あっけない最期でしたね,アケケナ最後でしたねね,11,7
341,この犯人だけがインターネット上の神を,この半人だけがインタUネット上の楽を,18,3
342,つまりとっくに死んでる遺体に,つまりとくくにシンデルタイイに,14,8
343,今は中がジッパーになってる,今はなかが実パUになってる,13,5
344,インターネットのオークションで買った,インタUネットのオUクションでかった,18,3
345,近くのホームレスの男性,月格のホUムレスの前性,11,4
346,また飲み会してくださいね,またの見会してくださいね,12,2
347,早う家帰って風呂入って,は用いえばっていフロはいって,11,10
348,でも浩のおかげで助かった,でも年氏のおかげでたますった,12,5
349,今度は朝まで付き合ってよ,今度は回まで月あってよ,12,4
350,きっと人間と見てないよ,キット人件と見てないよ,11,4
351,大変申し訳ありませんでした,大源も試わえありませんでした,13,5
352,同じ雑誌の読者モデルが,同じんしシノクショもモデルが,11,8
353,まだ犯人の手掛かりはつかめていない,まだは人の手がかりは使めていない,17,4
354,少し離れて歩きますから,少しはなれてある高まから,11,6
355,今日はありがとうございました,公はありがとうございました,14,2
356,ぜひまた次回も呼んでください,ぜひまた時回もソンでください,14,3
357,ただこういったケースの場合,ただこういったケUスの場合,13,1
358,ゆっくり落ち着いてからの方が,アククリッチ追いからの方が,14,8
359,ブランドの新作発表会の帰り道,ブランドの新作発表会の変えり見ち,14,4
360,あまりしゃべりたがらない,アマリシェベリタがらない,12,8
361,話をしたくない人もいるの,話をしたくない人もいるの,12,0
362,被害者は深く傷ついてる,日外はは不加きずついている,11,8
363,わたし樋口さんに嫌われたみたいです,私日口さんに聞らわれた見いたです,17,9
364,読者モデルとはいっても,独社モデルとはいっても,11,2
365,直接入っていたそうです,チェッシュはいっていたそうです,11,7
366,覚せい剤で逮捕歴もある,各生在で体はキキもある,11,8
367,定時だから帰っていいわ,定時だから決っていいわ,11,1
368,刑務所から出したはがきや封筒には,経務しからだしたはがきや不当当には,16,6
369,事件の概要が見えてきました,時件のがいうが上えてきました,13,5
370,これ樋口さんからもらったんだ,これ日口産からもらったんだ,14,3
371,もっと色々もらってこよう,もっといいおもらってこよよう,12,4
372,たぶんどこかで手足を縛られ,たぐんどこかでてきしをを加られ,13,6
373,これは傷つけても構わないという,これはきずつけてもかまわないという,15,4
374,ナイフを押し付けられていた,内フをおしつけかれていた,13,5
375,平手で殴られてるから傷も浅い,新手でなくられてるからきくも多さい,14,7
376,三上とは同じ中学の先輩後輩で,見わみとはおなじ注学の先敗行はで,14,9
377,三上の働いてるバーに呼びつけられて,見わみのはたらいてるバUによび付けられて,17,9
378,少し話が聞きたいんですが,少しなしがきききたいんですが,12,4
379,まあちょっとそこでお茶でも飲みながら,ままちょっとそこで今でものみじがから,18,6
380,コップに付いた唾液から,コップについただけきから,11,4
381,変なことしゃべってんだったら,ヘンなことされベッチだったら,14,8
382,犯人とみて間違いないな,半人と見てまち違いないな,11,4
383,プリンターで出力した文字です,プリンタUで出力したも実です,14,3
384,プリンターのメーカーが同じだと,プリンタUのメUカUがおじじゃだと,15,6
385,字体では区別がつかない,時体ではク別がつかない,11,2
386,ゆかりさんの家族構成から出身地,組かりさんの各国生化から出説チチ,15,8
387,病院で会話したこと全部書いてあるんだ,病院で会わしたこと全部やいてあるんだ,18,2
388,同じ銀行に口座作っちゃおう,同じ銀行に公張くチチア,13,8
389,犯人の声とにおいを確認してもらう,半人のこけとに意疑を確認してもなろう,16,7
390,襲われたらどないするつもりじゃ,そわわれたらど内するもよりじゃ,15,6
391,だったら樋口さんに頼むわ,だったら投着さにたのみわ,12,6
392,女の敵は許したくないんです,同なの適はるしたくないんです,13,4
393,金田は毎日決まった時間に,かけだは毎日キャマタ時間に,12,7
394,警視庁の片桐と申しますが,経始長の型理ともうしますが,12,7
395,だから全員やってやろうと思って,だから全員やってやろうと思って,15,0
396,家宅捜索の令状も取りました,高く総作のレイジェもとりました,13,9
397,必ず証拠は出てくるはずです,かならく賞こはでてくるはずです,13,7
398,あなたはモデル仲間の佐藤さん,あなたはモデルなかまのサイト参加,14,8
399,そこでバーで知り合った三上に,そこでバUでしりあったさん感分に,14,7
400,一方的にあなたに愛情を向けていた,一方的にあなたに合常を向けていた,16,2
401,後ろから危険が訪れるとは,おろろから経験がイトレルトは,12,9
402,あなたはため息をついた,あなたは見命をついた,11,3
403,相手が目の前にいるうちは,いいてが目の前にいる方は,12,5
404,なかなか証拠が挙がらなかった,なかなか賞こががからなかった,14,4
405,金田を監視するためにね,かけだを関しするためにね,11,5
406,何にも見つからなかった,なににも見つからなかった,11,2
407,いくら大事な仕事のためとはいえ,いくら大じな仕事のためとはいえ,15,1
408,いずれにせよ家宅捜索すれば,いずれに世下型総作すれば,13,6
